,Title,Category,Price,City,Availability
0,Креветки Королевские 26/30 очищенные,Морепродукты,5 290 Т,Актау,В наличии
1,Креветка Королевская 31/40 очищенная,Морепродукты,5 900 Т,Актау,В наличии
2,"Лангустины в панцире с головой, размер 21-30",Морепродукты,6 500 Т,Актау,В наличии
3,Морской Коктейль Стандарт 1 кг,Морепродукты,3 000 Т,Актау,В наличии
4,"Креветка Королевская  21/25, в панцире без головы",Морепродукты,5 500 Т,Актау,В наличии
5,Трубка Кальмара,Морепродукты,3 700 Т,Актау,В наличии
6,Чука салат замороженный,Морепродукты,2 800 Т,Актау,В наличии
7,Мидии в раковине 40-60 закрытые,Морепродукты,4 800 Т,Актау,В наличии
8,Гребешок Risma 10/20 глазурь 7%,Морепродукты,13 500 Т,Актау,В наличии
9,Вонголе Свежемороженные уп. 500 гр,Морепродукты,3 500 Т,Актау,В наличии
10,"Мидии на раковине Киви 40/60,  Новая Зеландия",Морепродукты,5 400 Т,Актау,В наличии
11,"Креветка Арктическая, 70/90,  Гренландия",Морепродукты,6 700 Т,Актау,В наличии
12,"Осьминог Бэби, размер 40/60",Морепродукты,5 500 Т,Актау,В наличии
13,Креветка Ваннамей 16/20 в панцире б/г,Морепродукты,5 700 Т,Актау,В наличии
14,"Лангустины в Панцире с головой, размер 10-20",Морепродукты,7 200 Т,Актау,В наличии
15,"Креветка  Салатная 100/200, глазурь 40%",Морепродукты,3 900 Т,Актау,В наличии
16,Щупальца Кальмара свежемороженные,Морепродукты,2 500 Т,Актау,В наличии
17,"Креветка Северная, 90/120,  Гренландия",Морепродукты,3 990 Т,Актау,В наличии
18,Мясо Мидий очищенное,Морепродукты,3 000 Т,Актау,В наличии
19,"Лангустины в панцире без головы, размер 30 - 50, уп. 2 кг",Морепродукты,6 500 Т,Актау,В наличии
20,"Гребешок 10/20, глазурь 25%",Морепродукты,6 800 Т,Актау,В наличии
21,Устрицы Gillardeau №2,Морепродукты,1 790 Т,Актау,В наличии
22,"Кольца Кальмара, уп. 1 кг",Морепродукты,4 800 Т,Актау,В наличии
23,Устрицы Ostra Regal  #2,Морепродукты,2 100 Т,Актау,В наличии
24,Устрицы Fin De Claire №2 Marine,Морепродукты,1 400 Т,Актау,Временно нет в наличии
25,Конечности Камчатского Краба 4L,Морепродукты,24 000 Т,Актау,В наличии
26,Креветка Тигровая 8/12  с головой,Морепродукты,14 500 Т,Актау,В наличии
27,Устрицы Tarbouriech,Морепродукты,2 400 Т,Актау,В наличии
28,Кальмар Патагонский,Морепродукты,5 500 Т,Актау,В наличии
29,Гребешок Морской на раковине с икрой 12/16,Морепродукты,7 600 Т,Актау,В наличии
30,Улитка Бургундская в металлическом поддоне,Морепродукты,2 990 Т,Актау,В наличии
31,"Хвост Омара, замороженный",Морепродукты,40 000 Т,Актау,В наличии
32,"Осьминог Индонезия 0,5 - 1 кг",Морепродукты,9 500 Т,Актау,В наличии
33,"Мясо краба, 1я фаланга, блок весом 1 -1,5 кг",Морепродукты,35 000 Т,Актау,В наличии
34,Лобстер (Омар) размер 1000+ гр.,Морепродукты,45 000 Т,Актау,В наличии
35,Клешни Лобстера (Омара) замороженные,Морепродукты,13 500 Т,Актау,В наличии
36,Устрицы Fine de Claire Selection Marine #3,Морепродукты,1 100 Т,Актау,В наличии
37,Устрицы La Belle №2,Морепродукты,1 490 Т,Актау,В наличии
38,"Каракатица, размер 40-60",Морепродукты,4 800 Т,Актау,В наличии
39,Кальмар Командорский очищенный,Морепродукты,3 600 Т,Актау,В наличии
40,Кальмар Тушка Неочищенный,Морепродукты,2 500 Т,Актау,В наличии
41,Кальмар Командорский 600 гр,Морепродукты,1 990 Т,Актау,В наличии
42,Гребешок на Створке,Морепродукты,4 500 Т,Актау,В наличии
43,"Креветка Королевская Блочная, в панцире 21/25",Морепродукты,15 000 Т,Актау,В наличии
44,Улитки по Бургундски (Escargot),Морепродукты,10 500 Т,Актау,В наличии
45,Мясо Краба Салатное (кусочками),Морепродукты,17 500 Т,Актау,В наличии
46,Креветка Risma Премиум глазурь 7%,Морепродукты,6 000 Т,Актау,В наличии
47,Устрицы №2 Царская,Морепродукты,1 600 Т,Актау,В наличии
48,Краб Приморский в собственном соку,Морепродукты,17 500 Т,Актау,В наличии
49,"Керамическая Сковорода ""Улиточница Эскарготьерка""",Морепродукты,4 500 Т,Актау,В наличии
50,Трубка Кальмара Risma,Морепродукты,4 800 Т,Актау,В наличии
51,Краб Натуральный в собственном соку,Морепродукты,48 000 Т,Актау,В наличии
52,"Семга Атлантическая (Лосось) Охлажденная, 3-4 кг",Рыба,5 990 Т,Актау,В наличии
53,Лосось Малосольный филе на шкуре,Рыба,9 500 Т,Актау,В наличии
54,Дорадо Охлажденная вес 300 - 400 гр/шт Греция,Рыба,4 990 Т,Актау,В наличии
55,Стейк из Семги нарезка Подкова,Рыба,6 990 Т,Актау,В наличии
56,"Форель Атлантическая охлажденная 3-4 кг, Норвегия",Рыба,7 700 Т,Актау,В наличии
57,Сибас Охлажденный весом 300 - 400 гр/шт,Рыба,4 990 Т,Актау,В наличии
58,Дорадо Охлажденная 400 - 600 гр./шт,Рыба,4 990 Т,Актау,В наличии
59,Сибас Охлажденный 400 - 600 гр/шт,Рыба,4 990 Т,Актау,В наличии
60,Лосось копченый по Шотландски Филе,Рыба,10 800 Т,Актау,В наличии
61,Филе Судака уп. 1 кг,Рыба,3 500 Т,Актау,В наличии
62,"Семга Атлантическая охлажденная, 5-6 кг, Норвегия",Рыба,7 700 Т,Актау,В наличии
63,Филе из Охлажденной Семги (Лосося),Рыба,14 500 Т,Актау,В наличии
64,Морской Окунь размер 500-600 гр,Рыба,3 000 Т,Актау,В наличии
65,Слайсы из Малосольного Лосося,Рыба,15 990 Т,Актау,В наличии
66,Палтус вес 2-3 кг,Рыба,5 500 Т,Актау,В наличии
67,Скумбрия (макрель атлантическая) 400-600,Рыба,2 200 Т,Актау,В наличии
68,Тунец  Yellowfin филе уп. 350-550 гр.,Рыба,10 100 Т,Актау,В наличии
69,Филе на шкуре из Атлантической Семги,Рыба,8 900 Т,Актау,В наличии
70,"Филе из Охлажденной Океанической Форели  1,5 - 2 кг",Рыба,14 500 Т,Актау,В наличии
